KAMIK,GREG,PEUR,PREV,
17,17,29,21,
16,17,29,21,
16,18,29,21,
16,18,29,21,
16,17,29,21,
16,17,30,21,
16,17,30,21,
16,16,31,20,
16,16,32,21,
16,16,33,20,
16,17,33,20,
16,17,33,20,
15,17,32,20,
16,17,32,21,
15,16,31,21,
15,17,31,21,
16,17,31,20,
17,17,31,21,
16,17,29,21,
16,18,28,20,
17,18,28,20,
17,18,28,19,
17,18,28,19,
18,18,29,19,
18,18,30,19,
18,18,30,19,
18,17,30,19,
18,18,31,19,
18,18,29,20,
19,19,30,20,
17,20,30,22,
17,20,30,22,
16,20,30,22,
16,20,30,22,
16,20,29,22,
16,20,28,22,
17,20,28,22,
17,21,28,21,
14,21,28,21,
12,21,28,22,
12,21,28,22,
12,21,27,23,
12,22,27,23,
12,22,27,23,
12,23,27,23,
12,23,26,23,
12,23,25,23,
12,22,24,24,
13,20,24,25,
13,18,24,25,
14,17,23,26,
14,15,23,27,
13,15,23,27,
13,15,24,28,
13,14,24,27,
13,14,23,27,
12,14,22,28,
12,14,22,28,
12,13,22,28,
12,12,23,28,
12,13,23,29,
12,13,22,28,
11,11,22,29,
11,10,22,30,
11,11,23,30,
11,12,23,30,
11,12,23,30,
11,11,23,30,
11,12,22,30,
11,12,22,30,
11,10,22,30,
11,10,22,30,
10,9,22,29,
10,9,22,28,
10,10,23,28,
10,9,23,28,
10,9,24,28,
10,9,24,28,
10,8,25,28,
11,8,25,29,
11,9,26,29,
10,11,25,28,
9,11,26,29,
10,12,27,29,
10,12,27,30,
11,12,28,31,
11,12,28,31,
11,12,29,31,
11,12,28,30,
11,12,29,31,
11,12,29,31,
12,13,29,31,
11,13,29,31,
10,13,29,30,
10,13,29,31,
11,13,28,31,
12,13,28,31,
12,13,29,32,
13,13,30,31,
13,13,28,30,
13,12,28,30,
13,12,28,30,
13,11,29,30,
13,12,29,30,
13,11,29,30,
12,11,29,29,
13,11,29,28,
14,11,29,28,
13,12,29,28,
14,12,29,28,
12,11,29,28,
9,12,29,29,
9,11,30,30,
10,12,30,31,
10,12,29,31,
10,12,29,32,
9,11,29,32,
9,12,29,32,
9,12,29,33,
9,10,28,34,
8,10,28,34,
8,9,27,35,
8,10,27,35,
8,10,25,34,
9,10,25,34,
10,10,25,34,
10,10,25,34,
9,10,25,34,
9,10,25,35,
8,10,25,35,
8,11,25,35,
8,11,25,35,
9,11,25,35,
9,10,25,35,
9,10,25,36,
7,10,25,37,
7,10,25,37,
7,10,25,38,
6,10,25,38,
6,10,26,39,
6,10,26,39,
6,9,26,39,
6,9,26,38,
6,9,26,38,
5,9,26,38,
6,10,24,38,
6,10,23,38,
6,10,23,38,
6,10,23,39,
6,9,24,39,
7,9,25,39,
7,9,25,39,
7,9,25,39,
6,10,25,39,
6,11,26,39,
5,11,27,39,
5,11,27,40,
5,11,27,40,
5,12,27,41,
5,12,26,40,
6,13,26,40,
6,13,26,40,
6,14,26,41,
6,15,26,41,
6,15,26,39,
6,15,27,39,
6,16,27,39,
5,15,27,38,
5,14,28,39,
5,14,29,39,
6,14,29,40,
7,14,29,38,
6,13,29,37,
7,13,28,37,
7,13,27,37,
7,14,28,37,
8,15,30,36,
8,15,30,36,
8,15,30,37,
8,11,30,38,
8,10,30,37,
8,10,30,37,
8,10,28,38,
8,10,29,38,
8,9,28,38,
8,10,28,37,
8,10,28,38,
8,10,29,36,
8,11,30,36,
8,10,30,35,
8,10,30,34,
8,11,31,34,
8,12,30,34,
9,12,30,35,
9,12,30,35,
10,12,30,36,
10,11,30,35,
10,11,31,36,
9,12,31,36,
9,13,31,36,
9,14,30,34,
9,13,29,34,
10,13,29,34,
10,13,29,35,
10,13,30,35,
10,13,31,34,
10,13,32,34,
10,13,32,35,
10,12,32,35,
10,12,32,35,
9,12,32,35,
9,13,31,35,
9,12,32,34,
9,12,32,33,
9,13,33,33,
8,13,34,34,
9,12,34,34,
10,11,34,35,
10,11,34,35,
11,11,34,36,
11,11,34,36,
11,11,34,36,
11,12,34,36,
10,13,33,35,
10,12,33,36,
9,12,33,37,
9,12,33,38,
9,11,33,38,
9,11,32,37,
9,11,32,37,
8,11,32,35,
9,11,32,35,
10,12,33,35,
11,11,34,34,
11,11,34,35,
11,12,33,35,
11,11,32,35,
11,12,32,35,
11,12,33,35,
11,12,33,34,
11,12,33,34,
10,13,34,33,
10,12,34,32,
10,12,33,32,
10,11,32,32,
11,11,32,32,
12,12,32,32,
12,13,32,33,
12,10,33,33,
13,10,32,34,
13,11,32,34,
13,11,33,33,
14,11,33,34,
14,11,33,34,
14,10,32,34,
13,11,32,34,
13,11,33,33,
14,11,33,34,
15,11,32,33,
14,12,33,33,
13,13,33,33,
12,11,32,31,
11,11,30,30,
